
  Obs               NIK     nama  nik_masking  nama_baru
-----  ----------------  -------  -----------  ---------
    1  1234567890123456  adi      58885577     ad**
    2  9876543210987654  testing  56295818     te******
    3  1234567890123456  adi      58885577     ad**
    4  9876543210987654  kolo     43307955     ko***
    5  9876543210987655  kolo     43307955     ko***
    6  9876543210987655  juuuji   31941093     ju*****
    7  9876543210987659  juujit   46661049     ju*****
    8  9876543210987678  poo      36142669     po**
    9  9876543210987678  ij       19220562     ij*

