
  Obs               NIK     nama  nik_masking  nama_baru
-----  ----------------  -------  -----------  ---------
    1  1234567890123456  adi      38359378     ad**
    2  9876543210987654  testing  18309259     te******
    3  1234567890123456  adi      38359378     ad**
    4  9876543210987654  kolo     18309259     ko***
    5  9876543210987655  kolo     32665241     ko***
    6  9876543210987655  juuuji   32665241     ju*****
    7  9876543210987659  juujit   89423174     ju*****
    8  9876543210987678  poo      19199775     po**
    9  9876543210987678  ij       19199775     ij*

